name,roaster,roast,loc_country,origin,100g_USD,rating,review_date,review
100% Kona Bourbon Pointu Laurina,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,19.82,95,November 2017,"Sweet, deep, intense but balanced. Peach, maple syrup, sandalwood, grapefruit zest, almond, magnolia in aroma and cup. Round, resonantly and sweetly bright in structure. Silky and buoyant in mouthfeel. Deep, long, flavor-saturated finish."
100% Kona Bourbon Pointu Laurina,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,19.82,95,February 2019,"Delicately fruit-toned, richly cocoa-driven. Ripe strawberry, dark chocolate,  almond, freesia-like flowers, a hint of wine barrel in aroma and cup. Sweet-tart structure with crisp, high-toned acidity; full, syrupy mouthfeel. The flavor-saturated finish sustains all of the aroma and flavor notes promised by the cup."
100% Kona Bourbon Pointu Laurina,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,27.76,95,February 2020,"Deeply and sweetly pungent; layered and intricate. Dark chocolate, raspberry, freesia, port wine, a hint of fresh, fragrant tobacco in aroma and cup. Balanced, quietly forceful in its sweet-savory structure; light but exceptionally silky in mouthfeel. All notes ring on in a layered, flavor-saturated finish."
100% Kona Bourbon Pointu Laurina,Hula Daddy Kona Coffee,Medium-Light,Hawai'i,Hawai'I,27.76,95,November 2021,"Richly aromatic, deeply sweet. Dark chocolate, blackberry, honeysuckle, fresh-cut oak, lemon balm in aroma and cup. Sweet-toned structure with lively acidity; delicately satiny mouthfeel. Rich chocolate and fresh blackberry notes dominate in a flavor-saturated finish."
5a Poniente,El Gran Café,Medium-Dark,Guatemala,Guatemala,1.47,86,October 2020,"Chocolaty, sweetly smoky. Dark chocolate, scorched mesquite, lily, raisin, hazelnut in aroma and cup. Bittersweet structure with gentle acidity; crisp, light mouthfeel. Bittersweet finish with notes of chocolate and scorched mesquite."
5a Poniente,El Gran Cafe,Medium-Light,Guatemala,Guatemala,1.47,91,November 2022,"Sweetly herb- and spice-toned. Lemon verbena, plum, clove, oak, maple syrup in aroma and cup. Sweetly tart structure with delicate acidity; crisp, silky mouthfeel. The finish leads with notes of lemon verbena and plum in the short, consolidating to fragrant oak in the long."
5a Poniente,El Gran Cafe,Medium,Guatemala,Guatemala,1.47,88,December 2021,"Richly bittersweet. Dark chocolate, hop flowers, fir, almond, raisin in aroma and cup. Bittersweet structure with gentle acidity; very full, syrupy mouthfeel. The crisp, chocolaty finish is supported by smoky aromatic wood notes."
5a Sur,El Gran Cafe,Medium,Guatemala,Guatemala,1.47,89,December 2021,"Crisply sweet, nut-toned. Cashew butter, baking chocolate, magnolia, pear, cedar in aroma and cup. Sweetly brisk structure; satiny mouthfeel. The finish consolidates to notes of cashew and cedar."
5a Sur,El Gran Café,Medium,Guatemala,Guatemala,1.47,86,October 2020,"Sweetly nut- and cocoa-toned. Hazelnut, cocoa powder, magnolia, cedar, golden raisin in aroma and cup. Sweet structure with brisk acidity; velvety mouthfeel. The nut-toned finish is supported by hints of cocoa powder and cedar. "
5a Sur,El Gran Cafe,Medium,Guatemala,Guatemala,1.47,91,November 2022,"Chocolate-toned, richly sweet-savory. Dark chocolate, nasturtium, black ucherry, cedar, agave syrup in aroma and cup. Bittersweet structure with gentle, rounded acidity; plush, syrupy mouthfeel. The quiet finish consolidates to crisp cocoa-toned cedar notes."
Andi Sumatra,JBC Coffee Roasters,Medium-Light,United States,Indonesia,5.73,92,September 2020,"Deep-toned, richly sweet. Date, magnolia, molasses, almond, cedar in aroma and cup. Sweet structure with round, gentle acidity; full, syrupy mouthfeel. Finish consolidates to notes of molasses and almond."
Andi Sumatra,JBC Coffee Roasters,Medium-Light,United States,Indonesia,5.73,93,August 2021,"Deeply sweet, richly savory. Black cherry, freesia-like flowers, almond, dark chocolate, fresh-cut cedar in aroma and cup. Sweet-savory structure with gentle, round acidity; plush, creamy mouthfeel. The resonant finish consolidates around notes of black cherry and dark chocolate with cedar undertones. "
Banco Gotete Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,5.44,94,February 2019,"Delicate, richly floral, sweetly spice-toned. Almond nougat, white peach, pink peppercorn, wisteria-like flowers, fragrant sandalwood in aroma and cup. Richly bittersweet structure with vibrant, juicy acidity; plush, syrupy mouthfeel. Resonant, flavor-saturated finish centers around peach, wisteria and sandalwood."
Banco Gotete Ethiopia,JBC Coffee Roasters,Medium-Light,United States,Ethiopia,4.82,93,July 2019,"Sweetly floral and richly resinous. Cedar, lemon zest, dried jasmine, cacao nib, loquat in aroma and cup. Delicate, sweetly brisk in structure; silky and lively in mouthfeel. Flavor consolidates around cedar and cocoa in a crisp, drying finish."
Bella Carmona Guatemala,JBC Coffee Roasters,Medium-Light,United States,Guatemala,4.67,93,June 2019,"Deeply rich, equally sweet and savory. Brown sugar, hop flowers, toasted coconut, chestnut, sumac in aroma and cup. Sweet-tart-savory structure with vibrant, juicy acidity; viscous, satiny mouthfeel. The resonant finish consolidates to coconut and chestnut with undertones of brown sugar."
